Mon_Year,Spices,Location,Grade,Price
Feb-22,MUSTARD,CHENNAI,,87
Mar-22,MUSTARD,CHENNAI,,77.5
Apr-22,MUSTARD,CHENNAI,,81
May-22,MUSTARD,CHENNAI,,81
Jun-22,MUSTARD,CHENNAI,,81
Jul-22,MUSTARD,CHENNAI,,80.9
Aug-22,MUSTARD,CHENNAI,,78.62
Sep-22,MUSTARD,CHENNAI,,76.5
Oct-22,MUSTARD,CHENNAI,,82.87
Nov-22,MUSTARD,CHENNAI,,86.87
Dec-22,MUSTARD,CHENNAI,,83.75
Jan-23,MUSTARD,CHENNAI,,87.5
Feb-23,MUSTARD,CHENNAI,,82.5
Mar-23,MUSTARD,CHENNAI,,77.5
Apr-23,MUSTARD,CHENNAI,,75
May-23,MUSTARD,CHENNAI,,75.62
Jun-23,MUSTARD,CHENNAI,,75
Jul-23,MUSTARD,CHENNAI,,80.5
Aug-23,MUSTARD,CHENNAI,,80.62
Sep-23,MUSTARD,CHENNAI,,81
Oct-23,MUSTARD,CHENNAI,,92.5
Nov-23,MUSTARD,CHENNAI,,118.75
Dec-23,MUSTARD,CHENNAI,,89.5
Jan-21,NUTMEG (WITH SHELL),COCHIN,,246.53
Feb-21,NUTMEG (WITH SHELL),COCHIN,,251.67
Mar-21,NUTMEG (WITH SHELL),COCHIN,,299
Apr-21,NUTMEG (WITH SHELL),COCHIN,,264.93
May-21,NUTMEG (WITH SHELL),COCHIN,,236.31
Jun-21,NUTMEG (WITH SHELL),COCHIN,,230.6
Jul-21,NUTMEG (WITH SHELL),COCHIN,,263.26
Aug-21,NUTMEG (WITH SHELL),COCHIN,,247.17
Sep-21,NUTMEG (WITH SHELL),COCHIN,,245.65
Oct-21,NUTMEG (WITH SHELL),COCHIN,,271.59
Nov-21,NUTMEG (WITH SHELL),COCHIN,,277.6
Dec-21,NUTMEG (WITH SHELL),COCHIN,,269.33
Jan-22,NUTMEG (WITH SHELL),COCHIN,,277
Feb-22,NUTMEG (WITH SHELL),COCHIN,,301.75
Mar-22,NUTMEG (WITH SHELL),COCHIN,,293.75
Apr-22,NUTMEG (WITH SHELL),COCHIN,,274.5
May-22,NUTMEG (WITH SHELL),COCHIN,,255
Jun-22,NUTMEG (WITH SHELL),COCHIN,,255
Jul-22,NUTMEG (WITH SHELL),COCHIN,,277.5
Aug-22,NUTMEG (WITH SHELL),COCHIN,,287.5
Sep-22,NUTMEG (WITH SHELL),COCHIN,,279.8
Oct-22,NUTMEG (WITH SHELL),COCHIN,,283.95
Nov-22,NUTMEG (WITH SHELL),COCHIN,,292.5
